Time,AMR_S,AMR_Undiag,AMR_I_NonRes,AMR_I_Res
0,400,0,400,0
1,400,0,400,0
2,400,0,400,0
3,400,0,400,0
4,400,0,400,0
5,400,0,400,0
6,400,0,400,0
7,400,0,400,0
8,400,0,400,0
9,400,0,400,0
10,400,0,400,0
11,400,0,400,0
12,400,0,400,0
13,400,0,400,0
14,400,0,400,0
15,400,0,400,0
16,400,0,400,0
17,400,0,400,0
18,400,0,400,0
19,400,0,400,0
20,400,0,400,0
21,400,0,400,0
22,400,0,400,0
23,400,0,400,0
24,400,0,400,0
25,400,0,400,0
26,400,0,400,0
27,400,0,400,0
28,400,0,400,0
29,400,0,400,0
30,400,0,400,0
31,400,0,400,0
32,400,0,400,0
33,399,1,400,0
34,399,1,400,0
35,399,1,400,0
36,398,2,400,0
37,397,3,400,0
38,397,3,400,0
39,396,4,400,0
40,396,4,400,0
41,395,4,400,0
42,395,3,400,0
43,394,4,400,0
44,395,4,400,0
45,395,3,400,0
46,395,3,400,0
47,392,6,400,0
48,392,6,400,0
49,392,6,400,0
50,390,8,400,0
51,390,8,400,0
52,389,9,400,0
53,388,9,400,0
54,388,9,399,1
55,386,10,399,1
56,387,10,399,1
57,385,12,399,1
58,385,11,399,1
59,385,11,399,1
60,383,13,399,1
61,382,14,399,1
62,382,14,399,1
63,380,15,399,1
64,380,16,399,1
65,380,16,399,1
66,380,16,399,1
67,380,16,399,1
68,380,16,399,1
69,380,15,399,1
70,378,16,399,1
71,379,17,399,1
72,379,17,399,1
73,379,16,399,1
74,379,18,399,1
75,379,18,399,1
76,380,17,399,1
77,380,17,399,1
78,381,16,399,1
79,378,19,399,1
80,376,21,399,1
81,374,23,399,1
82,374,21,399,1
83,374,20,399,1
84,374,20,399,1
85,372,19,399,1
86,372,20,399,1
87,372,20,399,1
88,370,21,399,1
89,369,21,399,1
90,370,21,399,1
91,369,22,399,1
92,371,20,399,1
93,370,21,399,1
94,368,23,399,1
95,369,23,399,1
96,369,23,399,1
97,367,23,399,1
98,367,24,399,1
99,366,24,399,1
100,366,23,399,1
101,365,23,399,1
102,363,24,397,3
103,365,23,397,3
104,364,25,397,3
105,362,27,397,3
106,361,28,397,3
107,362,27,397,3
108,360,27,397,3
109,360,26,397,3
110,362,24,397,3
111,362,23,397,3
112,361,27,397,3
113,358,29,397,3
114,358,29,397,3
115,356,29,397,3
116,356,30,397,3
117,354,32,397,3
118,356,30,397,3
119,358,31,397,3
120,356,33,397,3
121,356,33,396,4
122,357,31,396,4
123,357,32,396,4
124,355,33,396,4
125,355,33,396,4
126,354,34,396,4
127,353,34,396,4
128,351,36,396,4
129,350,35,396,4
130,350,36,396,4
131,349,37,396,4
132,349,36,396,4
133,348,36,395,5
134,347,37,395,5
135,347,40,395,5
136,347,40,395,5
137,347,37,395,5
138,347,35,395,5
139,345,35,395,5
140,345,34,395,5
141,346,35,395,5
142,349,34,395,5
143,346,37,395,5
144,345,34,395,5
145,348,35,395,5
146,350,32,395,5
147,351,33,395,5
148,349,35,395,5
149,346,37,395,5
150,349,35,395,5
151,350,32,395,5
152,349,31,395,5
153,350,31,395,5
154,349,31,395,5
155,350,30,395,5
156,351,30,395,5
157,349,31,394,6
158,350,30,394,6
159,350,32,394,6
160,346,36,394,6
161,344,38,393,7
162,344,39,393,7
163,344,38,393,7
164,344,38,393,7
165,343,40,393,7
166,343,40,393,7
167,346,36,393,7
168,345,35,392,8
169,347,33,392,8
170,345,33,392,8
171,346,33,392,8
172,346,32,392,8
173,349,29,392,8
174,350,29,392,8
175,350,30,392,8
176,350,32,392,8
177,349,33,392,8
178,347,36,392,8
179,346,37,392,8
180,345,37,392,8
181,344,37,392,8
182,341,39,392,8
183,340,38,392,8
184,338,39,391,9
185,336,40,391,9
186,338,41,390,10
187,336,42,390,10
188,332,46,390,10
189,329,48,389,11
190,326,52,389,11
191,325,53,389,11
192,324,55,388,12
193,323,57,388,12
194,325,58,388,12
195,323,59,388,12
196,322,60,388,12
197,322,63,387,13
198,320,65,387,13
199,317,66,387,13
200,316,66,387,13
201,314,69,387,13
202,314,66,387,13
203,312,67,388,12
204,313,66,387,13
205,313,63,387,13
206,313,60,386,14
207,313,58,386,14
208,312,56,386,14
209,313,53,386,14
210,315,51,386,14
211,317,49,386,14
212,322,47,386,14
213,318,48,386,14
214,318,48,386,14
215,318,51,385,15
216,320,50,384,16
217,320,48,384,16
218,318,51,384,16
219,319,50,384,16
220,320,47,384,16
221,317,52,384,16
222,316,53,383,17
223,312,58,382,18
224,312,57,382,18
225,311,54,382,18
226,307,58,382,18
227,306,59,382,18
228,306,55,382,18
229,308,53,382,18
230,306,53,382,18
231,304,55,382,18
232,303,58,381,19
233,305,56,379,21
234,304,58,379,21
235,301,60,379,21
236,305,58,379,21
237,306,55,379,21
238,304,59,379,21
239,304,59,379,21
240,302,60,379,21
241,298,61,379,21
242,300,61,379,21
243,300,63,379,21
244,302,62,379,21
245,299,64,379,21
246,297,64,379,21
247,297,64,379,21
248,296,64,379,21
249,297,62,379,21
250,297,60,379,21
251,296,63,379,21
252,294,65,379,21
253,292,67,379,21
254,290,68,379,21
255,290,67,379,21
256,290,66,379,21
257,291,66,379,21
258,291,67,379,21
259,287,71,379,21
260,288,69,379,21
261,289,68,379,21
262,288,70,379,21
263,288,70,379,21
264,289,69,379,21
265,289,68,379,21
266,291,68,379,21
267,290,68,379,21
268,288,68,379,21
269,288,68,378,22
270,286,69,378,22
271,283,71,378,22
272,286,72,378,22
273,281,76,378,22
274,277,79,378,22
275,274,80,377,23
276,275,81,377,23
277,277,81,377,23
278,274,83,377,23
279,273,86,377,23
280,274,85,376,24
281,274,82,376,24
282,268,84,375,25
283,261,89,375,25
284,263,88,375,25
285,260,89,375,25
286,260,87,375,25
287,261,88,375,25
288,261,85,375,25
289,256,92,374,26
290,249,98,373,27
291,250,98,373,27
292,249,95,373,27
293,252,93,373,27
294,252,95,373,27
295,248,97,373,27
296,245,100,372,28
297,246,100,372,28
298,250,99,372,28
299,249,99,371,29
300,249,99,371,29
301,248,101,370,30
302,246,100,370,30
303,244,103,370,30
304,244,104,370,30
305,245,105,370,30
306,243,103,370,30
307,241,106,370,30
308,240,105,369,31
309,240,103,369,31
310,236,104,368,32
311,235,104,367,33
312,235,102,367,33
313,231,103,366,34
314,233,103,366,34
315,235,102,365,35
316,233,107,365,35
317,231,102,365,35
318,228,105,365,35
319,229,103,364,36
320,227,105,363,37
321,228,103,363,37
322,229,103,363,37
323,229,103,362,38
324,229,105,362,38
325,230,106,361,39
326,232,103,361,39
327,232,102,360,40
328,235,100,359,41
329,231,105,359,41
330,227,108,359,41
331,229,108,358,42
332,227,109,358,42
333,221,112,358,42
334,219,114,358,42
335,216,117,358,42
336,214,119,358,42
337,213,116,358,42
338,214,118,356,44
339,212,117,355,45
340,208,119,355,45
341,210,118,355,45
342,214,115,355,45
343,215,113,355,45
344,210,119,355,45
345,208,119,354,46
346,207,119,353,47
347,205,122,353,47
348,206,120,353,47
349,203,120,353,47
350,199,121,353,47
351,195,120,353,47
352,189,126,353,47
353,194,127,352,48
354,193,123,352,48
355,192,124,352,48
356,191,126,352,48
357,193,125,351,49
358,193,124,351,49
359,196,120,351,49
360,195,117,351,49
361,197,117,350,50
362,191,119,350,50
363,189,122,349,51
364,186,125,349,51
365,180,130,349,51
366,178,130,349,51
367,179,131,349,51
368,174,137,349,51
369,168,139,348,52
370,167,138,348,52
371,165,140,345,55
372,161,142,345,55
373,166,143,345,55
374,167,146,347,53
375,166,145,345,55
376,165,143,345,55
377,162,142,345,55
378,162,137,345,55
379,163,134,345,55
380,162,133,345,55
381,158,137,345,55
382,158,137,343,57
383,155,140,342,58
384,161,136,342,58
385,164,137,341,59
386,160,140,341,59
387,164,141,344,56
388,167,136,344,56
389,169,133,345,55
390,173,137,345,55
391,175,130,346,54
392,174,128,348,52
393,179,128,349,51
394,183,125,351,49
395,183,125,350,50
396,178,130,350,50
397,176,132,349,51
398,178,128,349,51
399,178,126,350,50
400,178,128,350,50
401,177,134,350,50
402,173,138,353,47
403,170,137,354,46
404,176,135,354,46
405,176,133,355,45
406,182,126,355,45
407,186,125,356,44
408,182,128,358,42
409,188,127,359,41
410,191,124,359,41
411,193,124,358,42
412,192,128,358,42
413,189,129,360,40
414,192,125,360,40
415,191,129,361,39
416,191,129,363,37
417,193,128,363,37
418,195,127,363,37
419,192,129,363,37
420,195,132,364,36
421,195,136,365,35
422,197,134,365,35
423,198,135,365,35
424,200,135,366,34
425,198,139,366,34
426,200,131,365,35
427,201,136,367,33
428,204,136,368,32
429,204,139,371,29
430,199,143,372,28
431,196,143,373,27
432,188,148,372,28
433,195,144,373,27
434,197,137,373,27
435,199,132,375,25
436,202,129,375,25
437,204,126,375,25
438,204,121,375,25
439,204,124,374,26
440,208,124,374,26
441,203,126,373,27
442,204,126,373,27
443,198,133,373,27
444,193,138,373,27
445,194,139,375,25
446,188,146,375,25
447,186,142,375,25
448,184,144,374,26
449,185,141,374,26
450,185,143,374,26
451,180,148,373,27
452,183,145,372,28
453,183,139,372,28
454,184,139,372,28
455,181,138,372,28
456,177,143,371,29
457,172,142,370,30
458,172,139,370,30
459,173,137,368,32
460,174,132,368,32
461,173,138,368,32
462,177,141,368,32
463,176,147,367,33
464,174,148,366,34
465,171,143,366,34
466,171,145,365,35
467,167,145,365,35
468,168,146,365,35
469,166,150,364,36
470,164,154,364,36
471,163,150,364,36
472,162,146,364,36
473,173,139,364,36
474,170,147,364,36
475,172,149,364,36
476,174,149,363,37
477,177,146,363,37
478,170,151,363,37
479,173,150,363,37
480,171,150,363,37
481,170,152,363,37
482,171,155,363,37
483,173,151,363,37
484,172,153,363,37
485,172,154,364,36
486,170,153,364,36
487,165,154,364,36
488,166,157,363,37
489,167,153,363,37
490,166,158,362,38
491,161,159,362,38
492,163,161,362,38
493,166,159,362,38
494,166,158,362,38
495,168,152,361,39
496,168,154,361,39
497,164,157,361,39
498,166,151,361,39
499,166,156,360,40
500,166,151,360,40